,Code,Code6,CommonName,GenusSpecies
1214,BPYT,MYIATP,Black-capped Pygmy-Tyrant,Myiornis atricapillus
1215,SCPT,LOPPIT,Scale-crested Pygmy-Tyrant,Lophotriccus pileatus
1216,PEPT,LOPPIR,Pale-eyed Pygmy-Tyrant,Lophotriccus pilaris
1217,NOBE,ONCCIN,Northern Bentbill,Oncostoma cinereigulare
1218,SOBE,ONCOLI,Southern Bentbill,Oncostoma olivaceum
1219,SHTF,POESYL,Slate-headed Tody-Flycatcher,Poecilotriccus sylvia
1220,COTF,TODCIN,Common Tody-Flycatcher,Todirostrum cinereum
1221,BHTF,TODNIG,Black-headed Tody-Flycatcher,Todirostrum nigriceps
1222,BRTW,CNISUB,Brownish Twistwing,Cnipodectes subbrunneus
1223,ERFL,RHYBRE,Eye-ringed Flatbill,Rhynchocyclus brevirostris
1224,OLIF,RHYOLI,Olivaceous Flatbill,Rhynchocyclus olivaceus
1225,YWFL,TOLFLC,Yellow-winged Flatbill,Tolmomyias flavotectus
1226,YOFL,TOLSUL,Yellow-olive Flatbill,Tolmomyias sulphurescens
1227,OLOF,TOLFLN,Ochre-lored Flatbill,Tolmomyias flaviventris
1228,YBTY,ORNSEM,Yellow-bellied Tyrannulet,Ornithion semiflavum
1229,BCTY,ORNBRU,Brown-capped Tyrannulet,Ornithion brunneicapillus
1230,NOBT,CAMIMB,Northern Beardless-Tyrannulet,Camptostoma imberbe
1231,SOBT,CAMOBS,Southern Beardless-Tyrannulet,Camptostoma obsoletum
1232,COFL,NESRID,Cocos Flycatcher,Nesotriccus ridgwayi
1233,MCTY,NESMUR,Mouse-colored Tyrannulet,Nesotriccus murinus
1234,YETY,CAPFLA,Yellow Tyrannulet,Capsiempis flaveola
1235,YCTY,TYRELA,Yellow-crowned Tyrannulet,Tyrannulus elatus
1236,FOEL,MYIGAI,Forest Elaenia,Myiopagis gaimardii
1237,GRAE,MYICAN,Gray Elaenia,Myiopagis caniceps
1238,JAEL,MYICOT,Jamaican Elaenia,Myiopagis cotta
1239,GREL,MYIVIR,Greenish Elaenia,Myiopagis viridicata
1240,CAEL,ELAMAR,Caribbean Elaenia,Elaenia martinica
1241,YBEL,ELAFLA,Yellow-bellied Elaenia,Elaenia flavogaster
1242,WCEL,ELAALB,White-crested Elaenia,Elaenia albiceps
1243,SBEL,ELAPAR,Small-billed Elaenia,Elaenia parvirostris
1244,LEEL,ELACHI,Lesser Elaenia,Elaenia chiriquensis
1245,MOEL,ELAFRA,Mountain Elaenia,Elaenia frantzii
1246,GAEL,ELAFAL,Greater Antillean Elaenia,Elaenia fallax
1247,TOTY,SERCIN,Torrent Tyrannulet,Serpophaga cinerea
1248,WFTY,ACRZEL,White-fronted Tyrannulet,Acrochordopus zeledoni
1249,SHTY,PHYGRI,Sooty-headed Tyrannulet,Phyllomyias griseiceps
1250,GUTY,ZIMVIL,Guatemalan Tyrannulet,Zimmerius vilissimus
1251,MITY,ZIMPAR,Mistletoe Tyrannulet,Zimmerius parvus
1252,BRAT,ATTSPA,Bright-rumped Attila,Attila spadiceus
1253,CHSI,SIRALB,Choco Sirystes,Sirystes albogriseus
1254,RMOU,RHYHOL,Rufous Mourner,Rhytipterna holerythra
1255,YUFL,MYIYUC,Yucatan Flycatcher,Myiarchus yucatanensis
1256,SAFL,MYIBAR,Sad Flycatcher,Myiarchus barbirostris
1257,DCFL,MYITUB,Dusky-capped Flycatcher,Myiarchus tuberculifer
1258,PAFL,MYIPAN,Panama Flycatcher,Myiarchus panamensis
1259,ATFL,MYICIN,Ash-throated Flycatcher,Myiarchus cinerascens
1260,NUFL,MYINUT,Nutting's Flycatcher,Myiarchus nuttingi
1261,GCFL,MYICRI,Great Crested Flycatcher,Myiarchus crinitus
1262,BCFL,MYITYR,Brown-crested Flycatcher,Myiarchus tyrannulus
1263,GFLY,MYINUG,Grenada Flycatcher,Myiarchus nugator
1264,RFTF,MYIVAL,Rufous-tailed Flycatcher,Myiarchus validus
1265,LSFL,MYISAG,La Sagra's Flycatcher,Myiarchus sagrae
1266,STOF,MYISTO,Stolid Flycatcher,Myiarchus stolidus
1267,PRFL,MYIANT,Puerto Rican Flycatcher,Myiarchus antillarum
1268,LAFL,MYIOBE,Lesser Antillean Flycatcher,Myiarchus oberi
1269,FLFL,RAMFLL,Flammulated Flycatcher,Ramphotrigon flammulatum
1270,LEKI,PHYLIC,Lesser Kiskadee,Philohydor lictor
1271,GKIS,PITSUL,Great Kiskadee,Pitangus sulphuratus
1272,CATY,MACRIX,Cattle Tyrant,Machetornis rixosa
1273,BOBF,MEGPIT,Boat-billed Flycatcher,Megarynchus pitangua
1274,RMFL,MYICAY,Rusty-margined Flycatcher,Myiozetetes cayanensis
1275,SOFL,MYISIM,Social Flycatcher,Myiozetetes similis
1276,GCAF,MYIGRA,Gray-capped Flycatcher,Myiozetetes granadensis
1277,WRFL,CONALB,White-ringed Flycatcher,Conopias albovittatus
1278,GBFL,MYIHEM,Golden-bellied Flycatcher,Myiodynastes hemichrysus
1279,STRF,MYIMAC,Streaked Flycatcher,Myiodynastes maculatus
1280,SBFL,MYILUT,Sulphur-bellied Flycatcher,Myiodynastes luteiventris
1281,PIRF,LEGLEU,Piratic Flycatcher,Legatus leucophaius
1282,VAFL,EMPVAR,Variegated Flycatcher,Empidonomus varius
1283,CSFL,EMPAUR,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus
1284,TRKI,TYRMEL,Tropical Kingbird,Tyrannus melancholicus
1285,COKI,TYRCOU,Couch's Kingbird,Tyrannus couchii
1286,CAKI,TYRVOC,Cassin's Kingbird,Tyrannus vociferans
1287,TBKI,TYRCRA,Thick-billed Kingbird,Tyrannus crassirostris
1288,WEKI,TYRVER,Western Kingbird,Tyrannus verticalis
1289,EAKI,TYRTYR,Eastern Kingbird,Tyrannus tyrannus
1290,GRAK,TYRDOM,Gray Kingbird,Tyrannus dominicensis
1291,LOKI,TYRCAU,Loggerhead Kingbird,Tyrannus caudifasciatus
1292,GIKI,TYRCUB,Giant Kingbird,Tyrannus cubensis
1293,STFL,TYRFOR,Scissor-tailed Flycatcher,Tyrannus forficatus
1294,FTFL,TYRSAV,Fork-tailed Flycatcher,Tyrannus savana
1295,BCOF,MYIFAS,Bran-colored Flycatcher,Myiophobus fasciatus
1296,EUFL,LATEUL,Euler's Flycatcher,Lathrotriccus euleri
1297,TCFL,APHCAP,Tawny-chested Flycatcher,Aphanotriccus capitalis
1298,BLBF,APHAUD,Black-billed Flycatcher,Aphanotriccus audax
1299,BEFL,XENCAL,Belted Flycatcher,Xenotriccus callizonus
1300,PILF,XENMEX,Pileated Flycatcher,Xenotriccus mexicanus
1301,TUFL,MITPHA,Tufted Flycatcher,Mitrephanes phaeocercus
1302,OSFL,CONCOO,Olive-sided Flycatcher,Contopus cooperi
1303,GRPE,CONPER,Greater Pewee,Contopus pertinax
1304,DAPE,CONLUG,Dark Pewee,Contopus lugubris
1305,OCPE,CONOCH,Ochraceous Pewee,Contopus ochraceus
1306,WEWP,CONSOR,Western Wood-Pewee,Contopus sordidulus
1307,EAWP,CONVIR,Eastern Wood-Pewee,Contopus virens
1308,TROP,CONCIN,Tropical Pewee,Contopus cinereus
1309,CUPE,CONCAB,Cuban Pewee,Contopus caribaeus
1310,JPEW,CONPAL,Jamaican Pewee,Contopus pallidus
1311,HIPE,CONHIS,Hispaniolan Pewee,Contopus hispaniolensis
1312,LAPE,CONLAT,Lesser Antillean Pewee,Contopus latirostris
1313,UNPE,CONSPE,Unidentified Pewee,Contopus (sp.)
1314,YBFL,EMPFLT,Yellow-bellied Flycatcher,Empidonax flaviventris
1315,ACFL,EMPVIR,Acadian Flycatcher,Empidonax virescens
1316,ALFL,EMPALN,Alder Flycatcher,Empidonax alnorum
1317,TRFL,EMPALT,Traill's Flycatcher,Empidonax alnorum/traillii
1318,WIFL,EMPTRA,Willow Flycatcher,Empidonax traillii
1319,SWFL,EMPTEX,Southwestern Willow Flycatcher,Empidonax traillii extimus
1320,WTFL,EMPALB,White-throated Flycatcher,Empidonax albigularis
1321,LEFL,EMPMIN,Least Flycatcher,Empidonax minimus
1322,HAFL,EMPHAM,Hammond's Flycatcher,Empidonax hammondii
1323,HDFL,EMPHAO,Hammond's/Dusky Flycatcher,Empidonax hammondii/oberholseri
1324,GRFL,EMPWRI,Gray Flycatcher,Empidonax wrightii
1325,DUFL,EMPOBE,Dusky Flycatcher,Empidonax oberholseri
1326,PINF,EMPAFF,Pine Flycatcher,Empidonax affinis
1327,WEFL,EMPDIF,Western Flycatcher,Empidonax difficilis
1328,YEFL,EMPFLC,Yellowish Flycatcher,Empidonax flavescens
1329,BBFL,EMPFUL,Buff-breasted Flycatcher,Empidonax fulvifrons
1330,BCAF,EMPATR,Black-capped Flycatcher,Empidonax atriceps
1331,UNEM,EMPSPE,Unidentified Empidonax,Empidonax (sp)
1332,BLPH,SAYNIG,Black Phoebe,Sayornis nigricans
1333,EAPH,SAYPHO,Eastern Phoebe,Sayornis phoebe
1334,SAPH,SAYSAY,Say's Phoebe,Sayornis saya
1335,VEFL,PYRRUB,Vermilion Flycatcher,Pyrocephalus rubinus
1336,PIWT,FLUPIC,Pied Water-Tyrant,Fluvicola pica
1337,NOSF,SUBARE,Northern Scrub-Flycatcher,Sublegatus arenarum
1338,LTTY,COLCOL,Long-tailed Tyrant,Colonia colonus
1339,UNFL,TYRGEN,Unidentified Flycatcher,"Tyrannidae (gen, sp)"
1340,BCAP,PITMIC,Black-crowned Antpitta,Pittasoma michleri
1341,FAAN,CYMLIN,Fasciated Antshrike,Cymbilaimus lineatus
1342,GANT,TARMAJ,Great Antshrike,Taraba major
1343,BAAN,THADOL,Barred Antshrike,Thamnophilus doliatus
1344,BLAN,THANIG,Black Antshrike,Thamnophilus nigriceps
1345,BHOA,THABRI,Black-hooded Antshrike,Thamnophilus bridgesi
1346,BCAS,THAATR,Black-crowned Antshrike,Thamnophilus atrinucha
1347,SFAN,XENSET,Spiny-faced Antshrike,Xenornis setifrons
1348,RUAN,THAANA,Russet Antshrike,Thamnistes anabatinus
1349,PLAN,DYSMEN,Plain Antvireo,Dysithamnus mentalis
1350,STCA,DYSSTR,Streak-crowned Antvireo,Dysithamnus striaticeps
1351,SPCA,DYSPUN,Spot-crowned Antvireo,Dysithamnus puncticeps
1352,MOAN,MYRIGN,Moustached Antwren,Myrmotherula ignota
1353,PAAN,MYRPAC,Pacific Antwren,Myrmotherula pacifica
1354,WFLA,MYRAXI,White-flanked Antwren,Myrmotherula axillaris
1355,SLAN,MYRSCH,Slaty Antwren,Myrmotherula schisticolor
1356,CTST,EPIFUL,Checker-throated Stipplethroat,Epinecrophylla fulviventris
1357,RWAN,HERFRA,Rusty-winged Antwren,Herpsilochmus frater
1358,DWAN,MICQUI,Dot-winged Antwren,Microrhopias quixensis
1359,WFRA,FORGRI,White-fringed Antwren,Formicivora grisea
1360,RRAN,EUCCAL,Rufous-rumped Antwren,Euchrepomis callinota
1361,DUAN,CERTYR,Dusky Antbird,Cercomacroides tyrannina
1362,JEAN,CERNIG,Jet Antbird,Cercomacra nigricans
1363,BACA,GYCNUD,Bare-crowned Antbird,Gymnocichla nudiceps
1364,ZEAN,HAFZEL,Zeledon's Antbird,Hafferia zeledoni
1365,WBEA,MYRLON,White-bellied Antbird,Myrmeciza longipes
1366,CBAN,POLEXS,Chestnut-backed Antbird,Poliocrania exsul
1367,DMAN,SIPLAE,Dull-mantled Antbird,Sipia laemosticta
1368,SPAN,HYLNAE,Spotted Antbird,Hylophylax naevioides
1369,WBAA,MYRTOR,Wing-banded Antbird,Myrmornis torquata
1370,BIAN,GYMBIC,Bicolored Antbird,Gymnopithys bicolor
1371,OCAN,PHAMCL,Ocellated Antbird,Phaenostictus mcleannani
1372,OBAN,GRAFLA,Ochre-breasted Antpitta,Grallaricula flavirostris
1373,THAN,MYRDIV,Thicket Antpitta,Myrmothera dives
1374,SCHA,HYLPER,Streak-chested Antpitta,Hylopezus perspicillatus
1375,SCAA,GRAGUA,Scaled Antpitta,Grallaria guatimalensis
1376,TATA,SCYPAN,Tacarcuna Tapaculo,Scytalopus panamensis
1377,CHTA,SCYCHO,Choco Tapaculo,Scytalopus chocoensis
1378,SFTA,SCYARG,Silvery-fronted Tapaculo,Scytalopus argentifrons
1379,MAAN,FORMON,Mayan Antthrush,Formicarius moniliger
1380,BFAN,FORANA,Black-faced Antthrush,Formicarius analis
1381,BHEA,FORNIG,Black-headed Antthrush,Formicarius nigricapillus
1382,RBAN,FORRUF,Rufous-breasted Antthrush,Formicarius rufipectus
1383,TTLE,SCLMEX,Tawny-throated Leaftosser,Sclerurus mexicanus
1384,GTLE,SCLALB,Gray-throated Leaftosser,Sclerurus albigularis
1385,STLE,SCLGUA,Scaly-throated Leaftosser,Sclerurus guatemalensis
1386,OLWO,SITGRI,Olivaceous Woodcreeper,Sittasomus griseicapillus
1387,LTWO,DECLON,Long-tailed Woodcreeper,Deconychura longicauda
1388,RUWO,DENHOM,Ruddy Woodcreeper,Dendrocincla homochroa
1389,TWWO,DENANA,Tawny-winged Woodcreeper,Dendrocincla anabatina
1390,PBRW,DENFUA,Plain-brown Woodcreeper,Dendrocincla fuliginosa
1391,WBWO,GLYSPI,Wedge-billed Woodcreeper,Glyphorynchus spirurus
1392,NOBW,DENSAN,Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae
1393,BBNW,DENPIM,Black-banded Woodcreeper,Dendrocolaptes picumnus
1394,SNBW,XIPPRO,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus
1395,COWO,XIPSUS,Cocoa Woodcreeper,Xiphorhynchus susurrans
1396,IBIW,XIPFLA,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster
1397,BSWO,XIPLAC,Black-striped Woodcreeper,Xiphorhynchus lachrymosus
1398,SPWO,XIPERY,Spotted Woodcreeper,Xiphorhynchus erythropygius
1399,SGBW,DENPIS,Straight-billed Woodcreeper,Dendroplex picus
1400,RBSC,CAMTRO,Red-billed Scythebill,Campylorhamphus trochilirostris
1401,BBSC,CAMPUS,Brown-billed Scythebill,Campylorhamphus pusillus
1402,WSWO,LEPLEU,White-striped Woodcreeper,Lepidocolaptes leucogaster
1403,SHWO,LEPSOU,Streak-headed Woodcreeper,Lepidocolaptes souleyetii
1404,SCRW,LEPAFF,Spot-crowned Woodcreeper,Lepidocolaptes affinis
1405,PLXE,XENMIT,Plain Xenops,Xenops minutus
1406,STXE,XENRUT,Streaked Xenops,Xenops rutilans
1407,BUTU,PSELAW,Buffy Tuftedcheek,Pseudocolaptes lawrencii
1408,STST,LOCNEM,Sharp-tailed Streamcreeper,Lochmias nematura
1409,SWFG,PHIFUS,Slaty-winged Foliage-gleaner,Philydor fuscipenne
1410,BFFG,DENRUF,Buff-fronted Foliage-gleaner,Dendroma rufa
1411,STFG,ANAVAR,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps
1412,LIFG,SYNSUB,Lineated Foliage-gleaner,Syndactyla subalaris
1413,RUFG,CLIRUB,Ruddy Foliage-gleaner,Clibanornis rubiginosus
1414,SBTR,THRRUB,Streak-breasted Treehunter,Thripadectes rufobrunneus
1415,OTFG,AUTOCH,Ochre-throated Foliage-gleaner,Automolus ochrolaemus
1416,FTFG,AUTCER,Fawn-throated Foliage-gleaner,Automolus cervinigularis
1417,CHFG,AUTEXS,Chiriqui Foliage-gleaner,Automolus exsertus
1418,STPW,AUTSUB,Striped Woodhaunter,Automolus subulatus
1419,SPBA,PREBRU,Spotted Barbtail,Premnoplex brunnescens
1420,BETR,MARBEL,Beautiful Treerunner,Margarornis bellulus
1421,RUTR,MARRUB,Ruddy Treerunner,Margarornis rubiginosus
1422,DBGR,XENMIL,Double-banded Graytail,Xenerpestes minlosi
1423,RFSP,CRAERY,Red-faced Spinetail,Cranioleuca erythrops
1424,COSP,CRADIS,Coiba Spinetail,Cranioleuca dissita
1425,PBSP,SYNALB,Pale-breasted Spinetail,Synallaxis albescens
1426,SLSP,SYNBRA,Slaty Spinetail,Synallaxis brachyura
1427,RBSP,SYNERY,Rufous-breasted Spinetail,Synallaxis erythrothorax
1428,RBPE,CYCGUJ,Rufous-browed Peppershrike,Cyclarhis gujanensis
1429,SCRG,HYLFLA,Scrub Greenlet,Hylophilus flavipes
1430,CSSV,VIRMEL,Chestnut-sided Shrike-Vireo,Vireolanius melitophrys
1431,GRSV,VIRPUL,Green Shrike-Vireo,Vireolanius pulchellus
1432,YBSV,VIREXI,Yellow-browed Shrike-Vireo,Vireolanius eximius
1433,TCGR,TUNOCH,Tawny-crowned Greenlet,Tunchiornis ochraceiceps
1434,LESG,PACDEC,Lesser Greenlet,Pachysylvia decurtata
1435,GFGR,PACAUR,Golden-fronted Greenlet,Pachysylvia aurantiifrons
1436,GOVI,VIRHYP,Golden Vireo,Vireo hypochryseus
1437,BMVI,VIROSB,Blue Mountain Vireo,Vireo osburni
1438,SLVI,VIRBRE,Slaty Vireo,Vireo brevipennis
1439,BCVI,VIRATR,Black-capped Vireo,Vireo atricapilla
1440,DWVI,VIRNEL,Dwarf Vireo,Vireo nelsoni
1441,WEVI,VIRGRI,White-eyed Vireo,Vireo griseus
1442,TBVI,VIRCRA,Thick-billed Vireo,Vireo crassirostris
1443,MAVI,VIRPAL,Mangrove Vireo,Vireo pallens
1444,COVI,VIRBAI,Cozumel Vireo,Vireo bairdi
1445,SAVI,VIRCAB,San Andres Vireo,Vireo caribaeus
1446,JAVI,VIRMOD,Jamaican Vireo,Vireo modestus
1447,CUVI,VIRGUN,Cuban Vireo,Vireo gundlachii
1448,PRVI,VIRLAT,Puerto Rican Vireo,Vireo latimeri
1449,FBVI,VIRNAN,Flat-billed Vireo,Vireo nanus
1450,BEVI,VIRBEL,Bell's Vireo,Vireo bellii
1451,LBVI,VIRBPU,Least Bell's Vireo,Vireo bellii pusillus
1452,GRVI,VIRVIC,Gray Vireo,Vireo vicinior
1453,HUVI,VIRHUT,Hutton's Vireo,Vireo huttoni
1454,YTVI,VIRFLF,Yellow-throated Vireo,Vireo flavifrons
1455,YWVI,VIRCAM,Yellow-winged Vireo,Vireo carmioli
1456,CAVI,VIRCAS,Cassin's Vireo,Vireo cassinii
1457,BHVI,VIRSOL,Blue-headed Vireo,Vireo solitarius
1458,SOVI,VIRSPE,Solitary Vireo,Vireo (sp)
1459,PLVI,VIRPLU,Plumbeous Vireo,Vireo plumbeus
1460,PHVI,VIRPHI,Philadelphia Vireo,Vireo philadelphicus
1461,WAVI,VIRGIL,Warbling Vireo,Vireo gilvus
1462,BCAV,VIRLEU,Brown-capped Vireo,Vireo leucophrys
1463,REVI,VIROLI,Red-eyed Vireo,Vireo olivaceus
1464,YGVI,VIRFLD,Yellow-green Vireo,Vireo flavoviridis
1465,BWVI,VIRALT,Black-whiskered Vireo,Vireo altiloquus
1466,YUVI,VIRMAG,Yucatan Vireo,Vireo magister
1467,KAEL,CHASCL,Kauai Elepaio,Chasiempis sclateri
1468,OAEL,CHAIBI,Oahu Elepaio,Chasiempis ibidis
1469,HAEL,CHASAN,Hawaii Elepaio,Chasiempis sandwichensis
1470,BROS,LANCRI,Brown Shrike,Lanius cristatus
1471,RBSH,LANCOL,Red-backed Shrike,Lanius collurio
1472,LOSH,LANLUD,Loggerhead Shrike,Lanius ludovicianus
1473,SCLS,LANLUM,San Clemente Loggerhead Shrike,Lanius ludovicianus mearnsi
1474,NSHR,LANBOR,Northern Shrike,Lanius borealis
1475,CAJA,PERCAN,Canada Jay,Perisoreus canadensis
1476,WTJA,CYAMIR,White-throated Jay,Cyanolyca mirabilis
1477,DWJA,CYANAN,Dwarf Jay,Cyanolyca nanus
1478,BTJA,CYAPUM,Black-throated Jay,Cyanolyca pumilo
1479,STHJ,CYAARG,Silvery-throated Jay,Cyanolyca argentigula
1480,AHJA,CYACUC,Azure-hooded Jay,Cyanolyca cucullata
1481,BTMJ,CYACOL,Black-throated Magpie-Jay,Cyanocorax colliei
1482,WTMJ,CYAFOR,White-throated Magpie-Jay,Cyanocorax formosus
1483,BRJA,CYAMOR,Brown Jay,Cyanocorax morio
1484,GRJA,CYAYNC,Green Jay,Cyanocorax yncas
1485,BCRJ,CYAMEL,Bushy-crested Jay,Cyanocorax melanocyaneus
1486,YUJA,CYAYUC,Yucatan Jay,Cyanocorax yucatanicus
1487,PBJA,CYABEE,Purplish-backed Jay,Cyanocorax beecheii
1488,SBJA,CYASAN,San Blas Jay,Cyanocorax sanblasianus
1489,TUJA,CYADIC,Tufted Jay,Cyanocorax dickeyi
1490,BCHJ,CYAAFF,Black-chested Jay,Cyanocorax affinis
1491,PIJA,GYMCYA,Pinyon Jay,Gymnorhinus cyanocephalus
1492,STJA,CYASTE,Steller's Jay,Cyanocitta stelleri
1493,BLJA,CYACRI,Blue Jay,Cyanocitta cristata
1494,FLSJ,APHCOE,Florida Scrub-Jay,Aphelocoma coerulescens
1495,ISSJ,APHINS,Island Scrub-Jay,Aphelocoma insularis
1496,CASJ,APHCAL,California Scrub-Jay,Aphelocoma californica
1497,WOSJ,APHWOO,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii
1498,TRJA,APHULT,Transvolcanic Jay,Aphelocoma ultramarina
1499,MEJA,APHWOL,Mexican Jay,Aphelocoma wollweberi
1500,UNJA,APHUNI,Unicolored Jay,Aphelocoma unicolor
1501,CLNU,NUCCOL,Clark's Nutcracker,Nucifraga columbiana
1502,BBMA,PICHUD,Black-billed Magpie,Pica hudsonia
1503,YBMA,PICNUT,Yellow-billed Magpie,Pica nuttalli
1504,EUJA,CORMON,Eurasian Jackdaw,Corvus monedula
1505,ROOK,CORFRU,Rook,Corvus frugilegus
1506,AMCR,CORBRA,American Crow,Corvus brachyrhynchos
1507,CUPC,CORMIN,Cuban Palm-Crow,Corvus minutus
1508,HIPC,CORPAL,Hispaniolan Palm-Crow,Corvus palmarum
1509,CUCR,CORNAS,Cuban Crow,Corvus nasicus
1510,WNCR,CORLEU,White-necked Crow,Corvus leucognaphalus
1511,HCRW,CORCOR,Hooded Crow,Corvus cornix
1512,JACR,CORJAM,Jamaican Crow,Corvus jamaicensis
1513,TACR,CORIMP,Tamaulipas Crow,Corvus imparatus
1514,SICR,CORSIN,Sinaloa Crow,Corvus sinaloae
1515,FICR,COROSS,Fish Crow,Corvus ossifragus
1516,HCRO,CORHAW,Hawaiian Crow,Corvus hawaiiensis
1517,UNCR,CORSPE,Unidentified Crow,Corvus (sp)
1518,CHRA,CORCRY,Chihuahuan Raven,Corvus cryptoleucus
1519,CORA,CORCOX,Common Raven,Corvus corax
1520,VERD,AURFLA,Verdin,Auriparus flaviceps
1521,CACH,POECAR,Carolina Chickadee,Poecile carolinensis
1522,BCCH,POEATR,Black-capped Chickadee,Poecile atricapillus
1523,MOCH,POEGAM,Mountain Chickadee,Poecile gambeli
1524,MECH,POESCL,Mexican Chickadee,Poecile sclateri
1525,CBCH,POERUF,Chestnut-backed Chickadee,Poecile rufescens
1526,BOCH,POEHUD,Boreal Chickadee,Poecile hudsonicus
1527,GHCH,POECIN,Gray-headed Chickadee,Poecile cinctus
1528,HYCH,POEHYB,Hybrid Chickadee,Poecile hybrid
1529,UNCH,POESPE,Unidentified Chickadee,Poecile (sp)
1530,BRTI,BAEWOL,Bridled Titmouse,Baeolophus wollweberi
1531,OATI,BAEINO,Oak Titmouse,Baeolophus inornatus
1532,JUTI,BAERID,Juniper Titmouse,Baeolophus ridgwayi
1533,TUTI,BAEBIC,Tufted Titmouse,Baeolophus bicolor
1534,BCTI,BAEATR,Black-crested Titmouse,Baeolophus atricristatus
1535,EUSK,ALAARV,Eurasian Skylark,Alauda arvensis
1536,HOLA,EREALP,Horned Lark,Eremophila alpestris
1537,SHLA,EREALS,Streaked Horned Lark,Eremophila alpestris strigata
1538,TBWA,ARUAED,Thick-billed Warbler,Arundinax aedon
1539,ICWA,HIPICT,Icterine Warbler,Hippolais icterina
1540,MILL,ACRFAM,Millerbird,Acrocephalus familiaris
1541,SEWA,ACRSCH,Sedge Warbler,Acrocephalus schoenobaenus
1542,BREW,ACRDUM,Blyth's Reed Warbler,Acrocephalus dumetorum
1543,BCDO,DONATR,Black-capped Donacobius,Donacobius atricapilla
1544,PGWA,HELCER,Pallas's Grasshopper Warbler,Helopsaltes certhiola
1545,MGRW,HELOCH,Middendorff's Grasshopper Warbler,Helopsaltes ochotensis
1546,LANW,LOCLAN,Lanceolated Warbler,Locustella lanceolata
1547,RIWA,LOCFLU,River Warbler,Locustella fluviatilis
1548,BANS,RIPRIP,Bank Swallow,Riparia riparia
1549,TRES,TACBIC,Tree Swallow,Tachycineta bicolor
1550,BAHS,TACCYA,Bahama Swallow,Tachycineta cyaneoviridis
1551,VGSW,TACTHA,Violet-green Swallow,Tachycineta thalassina
1552,GOSW,TACEUC,Golden Swallow,Tachycineta euchrysea
1553,MANS,TACALB,Mangrove Swallow,Tachycineta albilinea
1554,BCSW,ATTPIL,Black-capped Swallow,Atticora pileata
1555,WTGS,ATTTIB,White-thighed Swallow,Atticora tibialis
1556,BAWS,PYGCYA,Blue-and-white Swallow,Pygochelidon cyanoleuca
1557,NRWS,STESER,Northern Rough-winged Swallow,Stelgidopteryx serripennis
1558,SRWS,STERUF,Southern Rough-winged Swallow,Stelgidopteryx ruficollis
1559,BCMA,PROTAP,Brown-chested Martin,Progne tapera
1560,PUMA,PROSUB,Purple Martin,Progne subis
1561,SOMA,PROELE,Southern Martin,Progne elegans
1562,GYBM,PROCHA,Gray-breasted Martin,Progne chalybea
1563,SIMA,PROSIN,Sinaloa Martin,Progne sinaloae
1564,CUMA,PROCRY,Cuban Martin,Progne cryptoleuca
1565,CAMA,PRODOM,Caribbean Martin,Progne dominicensis
1566,BARS,HIRRUS,Barn Swallow,Hirundo rustica
1567,WEHM,DELURB,Western House-Martin,Delichon urbicum
1568,SIHM,DELLAG,Siberian House-Martin,Delichon lagopodum
1569,CLSW,PETPYR,Cliff Swallow,Petrochelidon pyrrhonota
1570,CASW,PETFUL,Cave Swallow,Petrochelidon fulva
1571,UNSW,HIRGSP,Unidentified Swallow,"Hirundinidae (gen, sp)"
1572,BUSH,PSAMIN,Bushtit,Psaltriparus minimus
1573,JBWA,HORDIP,Japanese Bush Warbler,Horornis diphone
1574,WILW,PHYTRO,Willow Warbler,Phylloscopus trochilus
1575,CCHI,PHYCOL,Common Chiffchaff,Phylloscopus collybita
1576,WOWA,PHYSIB,Wood Warbler,Phylloscopus sibilatrix
1577,DUWA,PHYFUS,Dusky Warbler,Phylloscopus fuscatus
1578,PLEW,PHYPRO,Pallas's Leaf Warbler,Phylloscopus proregulus
1579,YBWA,PHYINO,Yellow-browed Warbler,Phylloscopus inornatus
1580,ARWA,PHYBOR,Arctic Warbler,Phylloscopus borealis
1581,AKLW,PHYBOE,Arctic/Kamchatka Leaf Warbler,Phylloscopus borealis/examinandus
1582,KLWA,PHYEXA,Kamchatka Leaf Warbler,Phylloscopus examinandus
1583,RVBU,PYCCAF,Red-vented Bulbul,Pycnonotus cafer
1584,RWBU,PYCJOC,Red-whiskered Bulbul,Pycnonotus jocosus
1585,EUBC,SYLATR,Eurasian Blackcap,Sylvia atricapilla
1586,LEWH,SYLCUR,Lesser Whitethroat,Sylvia curruca
1587,WREN,CHAFAS,Wrentit,Chamaea fasciata
1588,WAWE,ZOSJAP,Warbling White-eye,Zosterops japonicus
1589,GNLA,GARPEC,Greater Necklaced Laughingthrush,Garrulax pectoralis
1590,HWAM,GARCAN,Hwamei,Garrulax canorus
1591,RBLE,LEILUT,Red-billed Leiothrix,Leiothrix lutea
1592,RCKI,CORCAL,Ruby-crowned Kinglet,Corthylio calendula
1593,GCKI,REGSAT,Golden-crowned Kinglet,Regulus satrapa
