,Code,Code6,CommonName,GenusSpecies
270,CWWI,ANTCAR,Chuck-will's-widow,Antrostomus carolinensis
271,RUNI,ANTRUF,Rufous Nightjar,Antrostomus rufus
272,CUNI,ANTCUB,Cuban Nightjar,Antrostomus cubanensis
273,HINI,ANTEKM,Hispaniolan Nightjar,Antrostomus ekmani
274,TCNI,ANTSAL,Tawny-collared Nightjar,Antrostomus salvini
275,YUNI,ANTBAD,Yucatan Nightjar,Antrostomus badius
276,BCNI,ANTRID,Buff-collared Nightjar,Antrostomus ridgwayi
277,EWPW,ANTVOC,Eastern Whip-poor-will,Antrostomus vociferus
278,DUNI,ANTSAT,Dusky Nightjar,Antrostomus saturatus
279,MWPW,ANTARI,Mexican Whip-poor-will,Antrostomus arizonae
280,PRNI,ANTNOC,Puerto Rican Nightjar,Antrostomus noctitherus
281,WTNI,HYDCAY,White-tailed Nightjar,Hydropsalis cayennensis
282,SPTN,HYDMAU,Spot-tailed Nightjar,Hydropsalis maculicaudus
283,GRNI,CAPJOT,Gray Nightjar,Caprimulgus jotaka
284,OILB,STECAR,Oilbird,Steatornis caripensis
285,GRPO,NYCGRA,Great Potoo,Nyctibius grandis
286,CPOT,NYCGRI,Common Potoo,Nyctibius griseus
287,NORP,NYCJAM,Northern Potoo,Nyctibius jamaicensis
288,BLSW,CYPNIG,Black Swift,Cypseloides niger
289,WFSW,CYPSTO,White-fronted Swift,Cypseloides storeri
290,WCHS,CYPCRY,White-chinned Swift,Cypseloides cryptus
291,SFSW,CYPCHE,Spot-fronted Swift,Cypseloides cherriei
292,CCSW,STRRUT,Chestnut-collared Swift,Streptoprocne rutila
293,WCSW,STRZON,White-collared Swift,Streptoprocne zonaris
294,WNSW,STRSEM,White-naped Swift,Streptoprocne semicollaris
295,GRSW,CHACIN,Gray-rumped Swift,Chaetura cinereiventris
296,BRSW,CHASPI,Band-rumped Swift,Chaetura spinicaudus
297,CRSW,CHAFUM,Costa Rican Swift,Chaetura fumosa
298,LASW,CHAMAR,Lesser Antillean Swift,Chaetura martinica
299,CHSW,CHAPEL,Chimney Swift,Chaetura pelagica
300,VASW,CHAVAU,Vaux's Swift,Chaetura vauxi
301,CHAS,CHACHA,Chapman's Swift,Chaetura chapmani
302,SISW,CHAMER,Sick's Swift,Chaetura meridionalis
303,STSW,CHABRA,Short-tailed Swift,Chaetura brachyura
304,WTNE,HIRCAU,White-throated Needletail,Hirundapus caudacutus
305,MASW,AERBAR,Mariana Swiftlet,Aerodramus bartschi
306,COSW,APUAPU,Common Swift,Apus apus
307,FTSW,APUPAC,Fork-tailed Swift,Apus pacificus
308,ALSW,APUMEL,Alpine Swift,Apus melba
309,WTSW,AERSAX,White-throated Swift,Aeronautes saxatalis
310,LSTS,PANCAY,Lesser Swallow-tailed Swift,Panyptila cayennensis
